Feature,Importance
Tenure Months,0.07211227948249588
Total Charges,0.06808479531222482
Monthly Charges,0.049550529125112375
Longitude,0.03835070628435507
Zip Code,0.0381863712083524
Latitude,0.037730896537336196
Internet Service_Fiber optic,0.025677534435721974
Contract_Two year,0.022907379981825383
Payment Method_Electronic check,0.02185851312512891
Dependents_Yes,0.021502541461769345
Online Security_Yes,0.018310155093886955
Tech Support_Yes,0.017030107616963736
Contract_One year,0.015622996764229088
Paperless Billing_Yes,0.013757213882454992
Partner_Yes,0.011535305827294295
Online Backup_Yes,0.010195769435423682
Gender_Male,0.010139632123594661
Senior Citizen_Yes,0.009560799879107152
Multiple Lines_Yes,0.009455507564363851
Device Protection_Yes,0.008797964385783459
Streaming Movies_Yes,0.008270514798222673
Streaming TV_Yes,0.008249255970889848
Payment Method_Credit card (automatic),0.007918319029271845
Online Backup_No internet service,0.007908729307374357
Streaming TV_No internet service,0.006890363176750824
Online Security_No internet service,0.0065909205072912855
Streaming Movies_No internet service,0.006300127995925828
Payment Method_Mailed check,0.006004943151963289
Tech Support_No internet service,0.0056751579347000545
Device Protection_No internet service,0.004787402629671174
Internet Service_No,0.004762798244529928
City_Los Angeles,0.0036664064627302123
Multiple Lines_No phone service,0.0032261005359649356
Phone Service_Yes,0.003183144850710597
City_San Diego,0.002516584719371448
City_San Francisco,0.0019970888300328135
City_San Jose,0.0019399391793701057
City_Sacramento,0.0017109620197488249
City_San Bernardino,0.0015586263194441762
City_Fresno,0.0015139771373325764
City_Long Beach,0.0012996540933625372
City_Santa Barbara,0.0011312910853607942
City_Oakland,0.0010651949352938124
City_Pasadena,0.001043402584147515
City_Stockton,0.0010349937374256925
City_Modesto,0.0009334476965581985
City_Glendale,0.0009102508621339397
City_Riverside,0.0008940526140254935
City_Bakersfield,0.00087556165401352
City_Burbank,0.0008030384270954029
City_Anaheim,0.0007818628567991771
City_Hayward,0.0007456755826976062
City_Santa Monica,0.0007368062964815424
City_Torrance,0.0007132829859378846
City_Lakewood,0.0007024357601615219
City_North Hollywood,0.0006985553115389209
City_Lancaster,0.000694127375298595
City_Pearblossom,0.0006917652593955338
City_Pomona,0.0006682908307096161
"Lat Long_34.102119, -117.815532",0.0006665122071913758
"Lat Long_37.974498, -121.319568",0.0006585123527620712
City_Visalia,0.0006557036127707305
"Lat Long_34.420998, -119.60137",0.0006505819888253691
City_San Dimas,0.0006446385886687576
City_Daly City,0.0006289497028186393
City_Concord,0.0006227371232622811
City_El Monte,0.0006226195023191583
City_Huntington Beach,0.000620945613873338
"Lat Long_34.445239, -117.894868",0.0006204396317186683
City_Santa Rosa,0.0006178076891653318
"Lat Long_34.159007, -118.087353",0.0006165950892252886
"Lat Long_36.833002, -119.82947",0.0006110288596273529
City_Cupertino,0.0006028702957725443
"Lat Long_34.066303, -118.435479",0.000600175005187596
City_Chula Vista,0.0005923340790044229
City_Berkeley,0.0005876066216712155
City_La Puente,0.0005846548145645147
"Lat Long_36.739385, -119.753649",0.0005800594292681017
City_Whittier,0.0005777662953261458
"Lat Long_34.1692, -118.372498",0.0005742403404622415
"Lat Long_38.646096, -121.442433",0.0005734315877408364
City_Tujunga,0.0005707904939235026
City_Brea,0.0005693488023326929
City_San Gabriel,0.0005673755375572714
City_Irvine,0.000560539028121788
"Lat Long_37.306612, -122.080621",0.0005564239100641534
City_Chico,0.0005534328545762876
City_Fremont,0.0005477571188067565
City_Santa Clara,0.0005472169881387559
City_Merced,0.0005431334612176282
City_Cerritos,0.0005400916278361682
City_Santa Cruz,0.0005367715602775144
City_Santa Maria,0.0005350574258603646
City_Santa Ana,0.0005343016104749641
"Lat Long_33.537646, -116.291089",0.0005293702223248949
City_Oxnard,0.000528553483287926
"Lat Long_38.689174, -121.218435",0.0005247774427490593
City_Montague,0.0005245308714402102
"Lat Long_38.931425, -121.946081",0.0005236992766184206
"Lat Long_34.078991, -118.263804",0.0005229939106773288
City_Boulder Creek,0.0005213494788517665
City_Jackson,0.000520538808401726
"Lat Long_39.681488, -121.83721",0.0005193488336794919
"Lat Long_34.066367, -118.309868",0.0005154226419805175
City_Los Gatos,0.0005080055363713312
"Lat Long_35.215731, -119.57013",0.0005074965553629004
"Lat Long_41.950683, -124.097094",0.0005062414128642426
"Lat Long_34.712708, -117.889656",0.0005050149839035073
City_Twain,0.0004973558003723693
"Lat Long_35.38381, -119.730885",0.0004916392707800212
City_Perris,0.0004905255049578927
City_Fullerton,0.0004877605568447449
City_Garden Grove,0.00048719321957694676
"Lat Long_35.603913, -117.67828",0.0004856055041616324
"Lat Long_33.03933, -115.191857",0.0004854473833068059
"Lat Long_34.153338, -118.262974",0.0004843404691758145
City_Temecula,0.00048418655444093007
City_Travis Afb,0.000481603906470649
"Lat Long_34.207295, -118.400022",0.0004785756272512813
"Lat Long_34.079934, -118.046695",0.00047752220468827216
"Lat Long_38.53508, -121.444144",0.00047343042870930975
City_Costa Mesa,0.0004727996499541275
City_Orangevale,0.0004716229392883106
"Lat Long_33.885811, -118.206459",0.00047038903624524616
City_Van Nuys,0.00046811712829238257
"Lat Long_34.162515, -118.203869",0.00046753039809121626
City_Palo Alto,0.00046124327044965417
City_Duarte,0.00046008104467880524
City_Palmdale,0.0004587848281233088
City_Newport Beach,0.0004573693620361849
City_Indian Wells,0.0004570197316830888
"Lat Long_40.559177, -120.612113",0.00045320027532731906
City_West Covina,0.00045215054025179465
"Lat Long_33.927254, -118.249826",0.0004506317707751619
City_Nipomo,0.00044945416290357774
City_Compton,0.0004492129599158017
"Lat Long_36.303793, -119.375646",0.0004483450317806513
"Lat Long_41.759864, -122.379175",0.0004476333436632578
"Lat Long_35.050345, -120.489599",0.0004455541737518345
"Lat Long_34.457541, -119.631072",0.00044509012314062013
"Lat Long_40.557314, -124.081662",0.0004441862163846454
"Lat Long_35.869626, -119.498771",0.0004434581827421903
City_Susanville,0.0004417940131876016
City_Salinas,0.0004390625705902292
"Lat Long_38.554383, -122.474773",0.0004382384198186264
"Lat Long_33.309852, -116.823091",0.00043783054200212157
City_El Cajon,0.0004372924820838107
"Lat Long_37.186141, -121.843554",0.00043727767147012036
City_Elk Grove,0.000434376447775046
"Lat Long_34.031529, -118.491156",0.0004334719639187496
City_Palomar Mountain,0.00043327134691664455
"Lat Long_32.747484, -117.166877",0.00043191014286751125
"Lat Long_38.384648, -121.578701",0.00043097911297531173
"Lat Long_33.830209, -117.906099",0.0004302000558902126
"Lat Long_32.957195, -117.202542",0.00042984413248471886
City_Richmond,0.000427113836528796
City_San Jacinto,0.00042677250767518917
"Lat Long_33.8681, -118.067402",0.0004242421702580008
City_Indio,0.0004238853849739629
"Lat Long_38.013825, -122.039144",0.00042324722915672644
City_Desert Hot Springs,0.0004226698789479748
City_Buena Park,0.00042036146423832845
"Lat Long_38.265899, -121.939461",0.0004190312991457537
City_Emeryville,0.00041677628962835493
City_Lotus,0.0004165132540215673
"Lat Long_36.959731, -120.653519",0.00041495456349572
"Lat Long_33.819814, -118.222416",0.0004141328103380136
City_Eldridge,0.00041392379964905163
"Lat Long_37.454924, -122.203168",0.0004135014878551396
"Lat Long_37.40122, -120.514191",0.000410702118150926
City_Smith River,0.0004062465005332139
"Lat Long_37.612612, -121.108568",0.0004046873687902031
"Lat Long_36.523619, -119.386868",0.00040300506769495425
"Lat Long_40.022184, -121.062384",0.000402302161338372
"Lat Long_37.505768, -121.962472",0.00040106105658299423
"Lat Long_34.062125, -118.315709",0.00040057812479791247
City_Ventura,0.00039738516045650615
"Lat Long_32.741859, -117.090353",0.0003929687442686041
"Lat Long_32.805518, -117.169052",0.00039134760471903646
City_South Dos Palos,0.00039057793711563604
"Lat Long_33.930931, -117.361788",0.00039044013150191654
"Lat Long_34.55082, -117.122396",0.0003891251417119469
"Lat Long_33.956445, -118.358634",0.00038771239594082545
"Lat Long_34.002642, -118.287596",0.0003874010024021923
City_Ferndale,0.00038735252684636746
"Lat Long_34.083086, -117.737997",0.00038361815356217314
City_Rodeo,0.00038345748247200676
City_Corona,0.0003830344147823276
"Lat Long_34.150354, -118.518292",0.00038301548239527765
City_Sun City,0.0003827769989398481
"Lat Long_37.222842, -121.988727",0.00038241331556426874
"Lat Long_37.691561, -122.445202",0.0003811882194576913
"Lat Long_37.758085, -122.434801",0.0003810267083378166
"Lat Long_33.990646, -117.663025",0.00037938977099947276
"Lat Long_38.200231, -121.235034",0.00037844862035811143
City_Summerland,0.0003783690809405692
City_Hacienda Heights,0.0003774843541230944
"Lat Long_34.099869, -118.326843",0.0003764867514165891
City_Lathrop,0.00037547975815445747
"Lat Long_34.727529, -118.153098",0.00037339366752291245
City_Vacaville,0.0003732631330180278
"Lat Long_37.171727, -122.142961",0.000372991574055475
City_Inglewood,0.00037290715300227335
"Lat Long_33.707483, -117.200006",0.0003725824503015853
"Lat Long_34.110124, -119.100972",0.00037230830178731304
"Lat Long_41.468877, -120.54229",0.00037214467593331147
"Lat Long_34.157137, -118.548511",0.00037089618298678036
"Lat Long_37.031404, -121.981865",0.0003698116660468258
City_Mountain View,0.00036938769132633157
City_Bridgeville,0.00036851455844635233
City_Ridgecrest,0.0003681532744447894
"Lat Long_33.998471, -117.973758",0.0003666149111174331
"Lat Long_38.815515, -120.916997",0.00036511101666200397
City_Delano,0.0003643718930163762
"Lat Long_33.884073, -117.732197",0.00036411822767387734
"Lat Long_33.840524, -118.148403",0.0003640464958687831
City_Clarksburg,0.000363191884022406
"Lat Long_33.806708, -117.02007",0.00036287904337337367
City_Valencia,0.0003618871073844462
"Lat Long_37.83726, -122.287648",0.00036155566352948174
"Lat Long_40.656287, -121.428965",0.0003607556370787453
"Lat Long_40.372532, -123.525626",0.00036045736067120537
City_Fallbrook,0.00035963950331297233
City_Culver City,0.00035944329506170405
City_Amboy,0.00035867838988646873
City_Roseville,0.00035832907642808094
"Lat Long_34.758699, -120.275839",0.0003579086721000228
"Lat Long_37.80821, -121.308401",0.0003562827384763869
City_Old Station,0.00035512813505880905
"Lat Long_34.223768, -118.445461",0.0003531434312102374
"Lat Long_34.129058, -118.759788",0.00035257816927680247
City_Novato,0.0003525092605253343
"Lat Long_38.184914, -120.364085",0.0003523569637260803
City_Saint Helena,0.0003522348894750353
"Lat Long_34.142747, -117.300864",0.00035097920484842925
City_Hydesville,0.00035034793458448157
City_Tarzana,0.00034984015565072313
City_Wheatland,0.00034828246254867915
"Lat Long_39.117018, -120.212535",0.0003480483396222738
"Lat Long_32.853743, -117.25034",0.0003476659600232826
"Lat Long_37.83323, -121.601461",0.00034748227532733534
"Lat Long_37.351214, -121.952417",0.0003474182728182744
"Lat Long_34.188339, -118.300942",0.00034612267050187454
"Lat Long_37.393554, -121.965114",0.0003450288760799723
City_Madera,0.00034392843607450926
"Lat Long_41.081847, -122.700545",0.00034356842514985503
City_Niland,0.0003431620242992666
"Lat Long_34.279221, -119.221437",0.0003430268421293786
City_Vista,0.0003413674088830189
"Lat Long_33.763678, -116.429928",0.0003412909888176003
"Lat Long_34.598221, -117.79593",0.0003411510227639422
"Lat Long_34.559882, -115.637164",0.00034104316352032084
"Lat Long_38.581354, -122.296283",0.00033993495979677387
City_Spring Valley,0.00033988237665612297
"Lat Long_34.419203, -119.710008",0.00033984692950178846
"Lat Long_40.4785, -124.301372",0.000339467654026944
"Lat Long_34.667815, -117.536183",0.00033937917173955124
City_Meadow Valley,0.00033916247315544636
City_Pope Valley,0.00033806603790151384
City_Port Hueneme,0.0003374280562524916
"Lat Long_36.798882, -120.019511",0.0003373364926850041
"Lat Long_38.672708, -122.403219",0.0003371031735130398
"Lat Long_34.089927, -118.095645",0.00033699528413113527
"Lat Long_36.217864, -120.080117",0.0003358168433923355
City_Avenal,0.00033551243485981254
City_Apple Valley,0.0003352855383465207
City_Crescent City,0.0003350578322763996
City_Millbrae,0.00033326948344558453
City_Quincy,0.00033286682540116427
City_Livingston,0.0003322179469025467
City_San Mateo,0.00033181217680818145
"Lat Long_33.830099, -118.182239",0.0003314205397699463
City_Camarillo,0.0003313366305343652
"Lat Long_39.937017, -121.058043",0.0003302589098121503
City_Brawley,0.00033015035259965637
City_Lodi,0.0003300102578889537
"Lat Long_34.145695, -117.95982",0.00032952222620841637
City_Mineral,0.0003290298527486905
"Lat Long_35.772244, -119.209689",0.00032879055006607545
"Lat Long_38.067204, -122.524004",0.0003262550354137394
"Lat Long_32.790282, -115.689559",0.00032581842406924393
City_Encino,0.000324027185696035
"Lat Long_36.047414, -119.344304",0.0003236599343685844
City_Lompoc,0.0003231236798893299
"Lat Long_40.080342, -120.957805",0.0003225070344741566
"Lat Long_35.916943, -120.129921",0.00032190760099076444
City_Walnut Creek,0.0003218688239825196
"Lat Long_33.889605, -115.257009",0.00032143583005581056
City_Agoura Hills,0.00032134739770835175
"Lat Long_33.889632, -118.39737",0.00032112147350059404
City_Oceanside,0.000319912699747289
"Lat Long_37.671806, -121.007575",0.00031875601366389305
City_Pismo Beach,0.00031847432820477473
"Lat Long_38.439696, -122.668817",0.0003179267179044578
"Lat Long_38.336216, -120.76901",0.00031765136031275843
"Lat Long_37.416159, -122.131337",0.00031693702190732675
"Lat Long_36.64545, -118.924982",0.00031615689111476504
City_Orange,0.0003161242111055674
"Lat Long_33.906496, -116.569499",0.0003160624512185912
City_Grimes,0.00031578189453180687
City_Yorba Linda,0.0003151685688769081
"Lat Long_33.713891, -116.237257",0.00031516545579068564
City_San Marino,0.00031476320331947093
"Lat Long_36.696759, -119.024051",0.00031420949923276757
"Lat Long_38.027218, -122.23463",0.00031342088115561426
City_Redlands,0.00031308048175956446
City_Hathaway Pines,0.0003126197088265552
City_Mc Kittrick,0.00031219244113040183
"Lat Long_33.890046, -117.455583",0.00031195294949637264
"Lat Long_34.402343, -119.094824",0.0003117916754842831
City_Dinuba,0.0003102401522947486
"Lat Long_33.119028, -117.166036",0.00031011388158960697
"Lat Long_34.17847, -118.459472",0.0003098269097781752
City_Fellows,0.0003096788796072529
City_La Jolla,0.00030940642602273334
"Lat Long_34.183286, -117.221722",0.00030934168915788666
City_San Rafael,0.00030927339908608974
"Lat Long_34.296574, -118.244839",0.00030862144262083866
"Lat Long_39.461768, -121.195825",0.0003085033114153164
City_Woodland,0.00030829231389741446
"Lat Long_33.832799, -116.250973",0.0003074302657471342
City_Adin,0.000306548196698263
City_Tipton,0.0003063988096740288
"Lat Long_37.776523, -122.219268",0.00030563531155610373
"Lat Long_33.764018, -117.931507",0.00030557008107463617
"Lat Long_35.16207, -119.194488",0.0003043931307138356
City_March Air Reserve Base,0.0003040562920737941
"Lat Long_37.639215, -122.037554",0.0003036516962608656
City_Homewood,0.00030300993841516434
"Lat Long_32.578103, -117.012975",0.0003023051683741948
City_Desert Center,0.00030189877842059647
"Lat Long_33.601309, -117.902304",0.00030163911701413886
"Lat Long_37.684694, -122.40712",0.0003015002548675497
City_San Lucas,0.00030096702605725907
"Lat Long_32.79697, -116.969082",0.00030050212047152644
City_Malibu,0.0002998695130894002
"Lat Long_37.943087, -122.72379",0.0002996959306014229
"Lat Long_37.42765, -121.945416",0.000298579124776698
"Lat Long_33.888323, -117.277533",0.0002977685926451194
"Lat Long_33.695532, -116.310571",0.0002974947016761126
"Lat Long_33.345825, -115.596574",0.00029566861582786853
City_Borrego Springs,0.0002948455417824926
"Lat Long_34.072945, -118.37267",0.0002943392664402932
"Lat Long_33.794209, -118.317354",0.00029415995144060306
"Lat Long_36.125529, -120.864443",0.0002939135427317426
City_Manhattan Beach,0.00029373809952447583
City_Bonsall,0.0002930388671275245
City_Beaumont,0.00029249553732564024
City_Pleasant Grove,0.0002924159008509583
City_Caspar,0.00029197733351358406
"Lat Long_39.043387, -121.409837",0.0002918503763572579
"Lat Long_32.857946, -116.561917",0.00029166948577698373
City_Pleasanton,0.0002915622859979452
City_La Mesa,0.00029155015935573847
"Lat Long_34.122501, -117.320138",0.0002910814951246531
"Lat Long_33.940884, -118.128628",0.0002909741331815518
"Lat Long_36.590415, -118.073839",0.00029089885267852663
"Lat Long_34.186211, -117.07683",0.0002907942848974431
City_Dunnigan,0.0002905148769235899
"Lat Long_33.362575, -117.299644",0.0002901905807210825
"Lat Long_39.239818, -123.565432",0.00029015075156812737
City_North Palm Springs,0.00028932147384925344
"Lat Long_37.375156, -121.795867",0.00028889970698217003
City_Los Molinos,0.00028877659410550825
City_Miranda,0.0002884263293959447
City_Mojave,0.0002881492473785687
City_Rancho Cucamonga,0.00028773619713719716
"Lat Long_32.71346, -117.236378",0.00028734942315472616
"Lat Long_37.387027, -121.897775",0.0002870180542204892
"Lat Long_32.76501, -117.19938",0.0002869445828488799
City_Running Springs,0.00028674355621524053
"Lat Long_37.971421, -121.971504",0.0002864746482635923
City_Madison,0.00028642089571356274
"Lat Long_34.255442, -118.421314",0.0002859003606687341
"Lat Long_37.361987, -120.748394",0.0002855932639249502
"Lat Long_32.847336, -116.997605",0.0002851754266562395
City_Venice,0.0002846746360881028
"Lat Long_37.305622, -122.000887",0.00028416594331584293
City_Holtville,0.000284069934478126
"Lat Long_34.137319, -118.029837",0.00028386480632920896
City_Seiad Valley,0.00028362642518871284
City_Chino,0.0002835464332130373
City_Shaver Lake,0.0002834566434749614
City_Downey,0.00028261260360835813
City_Challenge,0.0002823779878165021
"Lat Long_38.833554, -121.498102",0.00028235312529507054
"Lat Long_37.553469, -120.952825",0.0002820564881238369
City_Lakeport,0.00028042362081820747
"Lat Long_38.055562, -120.456298",0.0002801124890748918
"Lat Long_39.033058, -121.895718",0.00028007920918066885
City_Phelan,0.0002797901830962977
"Lat Long_34.039224, -118.266293",0.0002792616998040094
City_Miramonte,0.0002788080704287573
City_Trinity Center,0.0002787249301763067
"Lat Long_40.059385, -122.091481",0.0002786556725470449
"Lat Long_33.828289, -117.201666",0.00027845157642922866
"Lat Long_37.556634, -122.317723",0.0002782462849583789
"Lat Long_34.286131, -118.435969",0.00027772666746077405
City_South Lake Tahoe,0.00027670335074171773
City_Sonoma,0.0002766272892840755
City_Pilot Hill,0.00027602219954550865
"Lat Long_37.601248, -122.403099",0.0002758061389618637
"Lat Long_32.980678, -116.262854",0.0002757973173285864
City_Jamul,0.0002756951179078713
City_Cabazon,0.0002756258676633236
"Lat Long_34.223244, -119.18012",0.0002753680705763055
"Lat Long_34.038983, -117.991372",0.00027535439753967713
City_Palm Desert,0.0002741952419583098
City_Lomita,0.00027343852593385396
"Lat Long_33.964131, -118.272783",0.00027235221425977064
"Lat Long_41.831901, -123.487478",0.00027210610281010124
City_Biola,0.0002715996320849377
City_Taft,0.0002710590719290464
City_Montebello,0.000271052079198783
"Lat Long_34.115192, -118.61017",0.00027101775685083724
"Lat Long_34.278967, -116.773825",0.0002705962409330039
City_Colusa,0.00027033025820236866
"Lat Long_34.089953, -118.294824",0.0002697172740351816
"Lat Long_37.419725, -122.062947",0.0002694102501878639
"Lat Long_33.391181, -118.421305",0.00026913512486394545
"Lat Long_38.25485, -122.461799",0.00026890335317206204
City_Rough And Ready,0.0002687309225736063
City_San Joaquin,0.00026865261088790214
"Lat Long_33.83796, -117.870494",0.00026861072389506343
